고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
01-0005,1,종로,2025-07-20 17:04,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 17:03,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 17:02,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 17:01,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 17:00,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:59,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:58,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:57,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:56,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:55,0.28,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:54,0.29,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:53,0.29,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:52,0.29,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:51,0.29,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
01-0005,1,종로,2025-07-20 16:50,0.29,통신양호,종로구 세종로208 교통섬(동화면세점 앞)
02-0001,2,중,2025-07-20 17:21,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:20,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:19,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:18,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:17,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:16,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:15,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:14,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:13,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:12,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:11,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:10,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
02-0001,2,중,2025-07-20 17:09,0.06,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>"
